Date,XLV_Open,XLV_High,XLV_Low,XLV_Close,XLV_Volume,XLV_ATRPercentOfClose20,XLV_SQN25,XLV_SQN50,XLV_SQN100,XLV_SQN200,XLV_MACD,XLV_MACD_Avg,XLV_MACD_Diff,XLV_LinReg10,XLV_LinReg30,XLV_LinReg90,XLV_LinReg270
1/3/2017, 69.31, 69.86, 69.22, 69.84, 11792938, 0, 0, 0, 0, 0, 0, 0, 0, 69.84, 69.84, 69.84, 69.84
1/4/2017, 69.95, 70.58, 69.95, 70.39, 9174456, 0, 0, 0, 0, 0, 0.0438746438746449, 0.00877492877492898, 0.0350997150997159, 70.39, 70.39, 70.39, 70.39
1/5/2017, 70.33, 70.77, 70.27, 70.75, 5979290, 0, 0, 0, 0, 0, 0.106467317635392, 0.0283134065470216, 0.0781539110883705, 70.7816666666667, 70.7816666666667, 70.7816666666667, 70.7816666666667
1/6/2017, 70.77, 71.15, 70.52, 70.95, 5769255, 0, 0, 0, 0, 0, 0.170248274939283, 0.0567003802254739, 0.113547894713809, 71.036, 71.036, 71.036, 71.036
1/9/2017, 70.95, 71.37, 70.82, 71.25, 5751911, 0, 0, 0, 0, 0, 0.242210583084059, 0.093802420797191, 0.148408162286868, 71.312, 71.312, 71.312, 71.312
1/10/2017, 71.37, 71.91, 71.21, 71.5, 10320463, 0, 0, 0, 0, 0, 0.315774094216465, 0.138196755481046, 0.177577338735419, 71.5714285714286, 71.5714285714286, 71.5714285714286, 71.5714285714286
1/11/2017, 71.59, 71.84, 70.05, 70.78, 23741959, 0, 0, 0, 0, 0, 0.312374861124013, 0.173032376609639, 0.139342484514374, 71.3735714285714, 71.3735714285714, 71.3735714285714, 71.3735714285714
1/12/2017, 70.43, 70.89, 70.26, 70.85, 9358905, 0, 0, 0, 0, 0, 0.311735862420534, 0.200773073771818, 0.110962788648716, 71.2708333333333, 71.2708333333333, 71.2708333333333, 71.2708333333333
1/13/2017, 70.91, 71.16, 70.75, 70.92, 5279017, 0, 0, 0, 0, 0, 0.313266722554033, 0.223271803528261, 0.0899949190257719, 71.224, 71.224, 71.224, 71.224
1/17/2017, 70.48, 70.68, 69.98, 70.56, 6038233, 0, 0, 0, 0, 0, 0.282178174538359, 0.235053077730281, 0.0471250968080782, 71.0634545454545, 71.0634545454545, 71.0634545454545, 71.0634545454545
1/18/2017, 70.7, 70.86, 70.33, 70.47, 6174216, 0, 0, 0, 0, 0, 0.247425857152422, 0.237527633614709, 0.00989822353771277, 70.7689090909091, 70.9177272727273, 70.9177272727273, 70.9177272727273
1/19/2017, 70.45, 70.61, 69.91, 70.02, 6470661, 0, 0, 0, 0, 0, 0.181481154275659, 0.226318337746899, -0.0448371834712402, 70.3945454545455, 70.6765384615384, 70.6765384615384, 70.6765384615384
1/20/2017, 70.02, 70.37, 69.78, 69.84, 7006899, 0, 0, 0, 0, 0, 0.113387940861941, 0.203732258369907, -0.0903443175079666, 70.0501818181818, 70.444945054945, 70.444945054945, 70.444945054945
1/23/2017, 69.75, 69.94, 69.29, 69.55, 10003675, 0, 0, 0, 0, 0, 0.035612483733118, 0.170108303442549, -0.134495819709431, 69.6952727272728, 70.1925714285714, 70.1925714285714, 70.1925714285714
1/24/2017, 69.48, 69.53, 68.75, 69.07, 8703494, 0, 0, 0, 0, 0, -0.0640191420371394, 0.123282814346612, -0.187301956383751, 69.3109090909091, 69.8798333333333, 69.8798333333333, 69.8798333333333
1/25/2017, 69.13, 69.75, 69.09, 69.72, 6553834, 0, 0, 0, 0, 0, -0.0894966933723822, 0.0807269128028129, -0.170223606175195, 69.32, 69.7805882352941, 69.7805882352941, 69.7805882352941
1/26/2017, 69.57, 69.69, 69.17, 69.18, 6612453, 0, 0, 0, 0, 0, -0.151514755605163, 0.0342785791212177, -0.185793334726381, 69.0956363636364, 69.5858823529411, 69.5858823529411, 69.5858823529411
1/27/2017, 69.34, 69.8, 69.32, 69.75, 7264900, 0, 0, 0, 0, 0, -0.152907656151001, -0.00315866793322602, -0.149748988217775, 69.1694545454546, 69.5453216374269, 69.5453216374269, 69.5453216374269
1/30/2017, 69.58, 69.72, 69.12, 69.41, 7281928, 0, 0, 0, 0, 0, -0.179378929727932, -0.0384027202921672, -0.140976209435765, 69.1998181818182, 69.4475263157895, 69.4475263157895, 69.4475263157895
1/31/2017, 69.04, 70.52, 68.99, 70.52, 14342468, 0, 0, 0, 0, 0, -0.10952731865882, -0.0526276399654978, -0.0568996786933224, 69.624, 69.5738571428571, 69.5738571428571, 69.5738571428571
2/1/2017, 70.52, 71.13, 70.38, 71.13, 19490501, 0, 0, 0, 0, 0, -0.0048911297168388, -0.043080337915766, 0.0381892081989272, 70.243090909091, 69.7901298701298, 69.7901298701298, 69.7901298701298
2/2/2017, 70.78, 71.15, 70.56, 71.11, 14539361, 1.03139677963718, 0, 0, 0, 0, 0.0755490881689553, -0.0193544526988217, 0.0949035408677771, 70.7292727272727, 69.9715415019762, 69.9715415019762, 69.9715415019762
2/3/2017, 71.34, 71.49, 71, 71.42, 15104788, 1.00987809787174, 0, 0, 0, 0, 0.162440437359606, 0.0170045253128639, 0.145435912046743, 71.227090909091, 70.1780434782608, 70.1780434782608, 70.1780434782608
2/6/2017, 71.29, 71.5, 71.15, 71.5, 11561794, 0.982786280594405, 0, 0, 0, 0, 0.235048298550467, 0.0606132799603845, 0.174435018590082, 71.6083636363637, 70.3688666666666, 70.3688666666666, 70.3688666666666
2/7/2017, 71.55, 71.83, 71.33, 71.57, 11278046, 0.967664637548903, 0, 0, 0, 0, 0.294840231978625, 0.107458670364033, 0.187381561614593, 71.8114545454546, 70.5449538461538, 70.5449538461538, 70.5449538461538
2/8/2017, 71.19, 71.53, 70.99, 71.46, 6812927, 0.961278620261772, 0.762836778009788, 0, 0, 0, 0.329550832448206, 0.151877102780867, 0.177673729667338, 71.9701818181818, 70.6823931623931, 70.6823931623931, 70.6823931623931
2/9/2017, 71.45, 71.93, 71.39, 71.72, 7869248, 0.947550497681413, 0.639045468871335, 0, 0, 0, 0.373730923044633, 0.19624786683362, 0.177483056211012, 72.0158181818182, 70.839074074074, 70.839074074074, 70.839074074074
2/10/2017, 71.83, 72.02, 71.66, 71.86, 4440343, 0.923467932215772, 0.539036452116072, 0, 0, 0, 0.415254003448737, 0.240049094156644, 0.175204909292094, 72.0852727272728, 70.9956650246305, 70.9956650246305, 70.9956650246305
2/13/2017, 71.93, 72.34, 71.93, 72.3, 6465225, 0.90515055779494, 0.641037077294152, 0, 0, 0, 0.478153807144849, 0.287670036754285, 0.190483770390565, 72.1236363636364, 71.1913793103448, 71.1913793103448, 71.1913793103448
2/14/2017, 72.22, 72.87, 72.17, 72.87, 10402997, 0.901197558146637, 0.74687952308008, 0, 0, 0, 0.567455319360946, 0.343627093275617, 0.223828226085328, 72.4232727272728, 71.4369677419355, 71.4369677419355, 71.4369677419355
